Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,115.339996,116.599998,115.339996,115.440002,112.528511,19888900
2018-03-19,115.099998,115.449997,113.300003,114.529999,111.641449,13214900
2018-03-20,114.870003,115.449997,114.449997,114.639999,111.748680,9921200
2018-03-21,114.809998,116.629997,114.209999,114.739998,111.846161,13633000
2018-03-22,113.199997,113.599998,109.540001,109.949997,107.176964,22550400
2018-03-23,110.269997,110.919998,106.760002,107.010002,104.311119,23081500
2018-03-26,109.190002,111.160004,108.650002,110.309998,107.527893,20217500
2018-03-27,111.070000,111.690002,107.300003,108.169998,105.441856,18039900
2018-03-28,108.279999,109.169998,106.650002,108.000000,105.276146,19189300
2018-03-29,108.500000,110.779999,107.779999,109.970001,107.196465,13274600
2018-04-02,109.959999,110.730003,106.080002,107.849998,105.129936,18822500
2018-04-03,108.360001,109.500000,107.260002,109.330002,106.572601,14050700
2018-04-04,107.099998,111.209999,107.019997,110.989998,108.190735,15302600
2018-04-05,111.629997,112.830002,111.389999,111.879997,109.611320,16627000
2018-04-06,110.550003,111.550003,107.820000,109.089996,106.877899,18906000
2018-04-09,110.010002,112.980003,109.889999,110.400002,108.161339,15974300
2018-04-10,112.129997,112.870003,111.419998,112.510002,110.228561,13951400
2018-04-11,111.660004,111.809998,110.519997,110.620003,108.376884,14503300
2018-04-12,111.559998,114.389999,111.500000,113.370003,111.071114,16435500
2018-04-13,115.019997,115.150002,109.050003,110.300003,108.063377,39152800
2018-04-16,110.940002,111.470001,109.790001,110.209999,107.975197,16580500
2018-04-17,111.370003,111.919998,109.989998,110.209999,107.975197,15501400
2018-04-18,110.529999,111.070000,108.889999,109.320000,107.103233,16081400
2018-04-19,109.529999,111.870003,109.500000,111.720001,109.454575,17911000
2018-04-20,112.300003,112.739998,110.879997,111.470001,109.209641,15584400
2018-04-23,111.570000,111.949997,110.629997,110.930000,108.680603,11285800
2018-04-24,111.750000,112.900002,109.589996,110.410004,108.171143,16453100
2018-04-25,110.269997,110.529999,108.599998,109.989998,107.759659,13548200
2018-04-26,109.970001,110.820000,109.339996,110.099998,107.867424,10299500
